Date,Cboe
2015-12-17,18.94000053
2015-12-18,20.70000076
2015-12-21,18.70000076
2015-12-22,16.60000038
2015-12-23,15.56999969
2015-12-24,15.73999977
2015-12-28,16.90999985
2015-12-29,16.07999992
2015-12-30,17.29000092
2015-12-31,18.20999908
2016-01-04,20.70000076
2016-01-05,19.34000015
2016-01-06,20.59000015
2016-01-07,24.98999977
2016-01-08,27.01000023
2016-01-11,24.29999924
2016-01-12,22.46999931
2016-01-13,25.21999931
2016-01-14,23.95000076
2016-01-15,27.02000046
2016-01-19,26.04999924
2016-01-20,27.59000015
2016-01-21,26.69000053
2016-01-22,22.34000015
2016-01-25,24.14999962
2016-01-26,22.5
2016-01-27,23.11000061
2016-01-28,22.42000008
2016-01-29,20.20000076
2016-02-01,19.97999954
2016-02-02,21.97999954
2016-02-03,21.64999962
2016-02-04,21.84000015
2016-02-05,23.37999916
2016-02-08,26.0
2016-02-09,26.54000092
2016-02-10,26.29000092
2016-02-11,28.13999939
2016-02-12,25.39999962
2016-02-16,24.11000061
2016-02-17,22.30999947
2016-02-18,21.63999939
2016-02-19,20.53000069
2016-02-22,19.37999916
2016-02-23,20.97999954
2016-02-24,20.71999931
2016-02-25,19.11000061
2016-02-26,19.80999947
2016-02-29,20.54999924
2016-03-01,17.70000076
2016-03-02,17.09000015
2016-03-03,16.70000076
2016-03-04,16.86000061
2016-03-07,17.35000038
2016-03-08,18.67000008
2016-03-09,18.34000015
2016-03-10,18.04999924
2016-03-11,16.5
2016-03-14,16.92000008
2016-03-15,16.84000015
2016-03-16,14.98999977
2016-03-17,14.43999958
2016-03-18,14.02000046
2016-03-21,13.78999996
2016-03-22,14.17000008
2016-03-23,14.93999958
2016-03-24,14.73999977
2016-03-28,15.23999977
2016-03-29,13.81999969
2016-03-30,13.56000042
2016-03-31,13.94999981
2016-04-01,13.10000038
2016-04-04,14.11999989
2016-04-05,15.42000008
2016-04-06,14.09000015
2016-04-07,16.15999985
2016-04-08,15.35999966
2016-04-11,16.26000023
2016-04-12,14.85000038
2016-04-13,13.84000015
2016-04-14,13.72000027
2016-04-15,13.61999989
2016-04-18,13.35000038
2016-04-19,13.23999977
2016-04-20,13.27999973
2016-04-21,13.94999981
2016-04-22,13.22000027
2016-04-25,14.07999992
2016-04-26,13.96000004
2016-04-27,13.77000046
2016-04-28,15.22000027
2016-04-29,15.69999981
2016-05-02,14.68000031
2016-05-03,15.60000038
2016-05-04,16.04999924
2016-05-05,15.90999985
2016-05-06,14.72000027
