Date,Dollar
2016-01-08,98.54000092
2016-01-11,98.73000336
2016-01-12,98.97000122
2016-01-13,98.93000031
2016-01-14,99.08999634
2016-01-15,98.95999908
2016-01-19,98.98999786
2016-01-20,99.08999634
2016-01-21,99.05999756
2016-01-22,99.56999969
2016-01-25,99.36000061
2016-01-26,99.36000061
2016-01-27,98.90000153
2016-01-28,98.51000214
2016-01-29,99.61000061
2016-02-01,99.0
2016-02-02,98.87000275
2016-02-03,97.29000092
2016-02-04,96.47000122
2016-02-05,97.02999878
2016-02-08,96.56999969
2016-02-09,96.06999969
2016-02-10,95.88999939
2016-02-11,95.55999756
2016-02-12,95.98000336
2016-02-16,96.87000275
2016-02-17,96.79000092
2016-02-18,96.94999695
2016-02-19,96.59999847
2016-02-22,97.37999725
2016-02-23,97.48000336
2016-02-24,97.45999908
2016-02-25,97.29000092
2016-02-26,98.15000153
2016-02-29,98.20999908
2016-03-01,98.34999847
2016-03-02,98.20999908
2016-03-03,97.56999969
2016-03-04,97.33999634
2016-03-07,97.06999969
2016-03-08,97.20999908
2016-03-09,97.16999817
2016-03-10,96.06999969
2016-03-11,96.16999817
2016-03-14,96.62000275
2016-03-15,96.62999725
2016-03-16,95.88999939
2016-03-17,94.76000214
2016-03-18,94.98999786
2016-03-21,95.29000092
2016-03-22,95.65000153
2016-03-23,96.05000305
2016-03-24,96.13999939
2016-03-28,95.94000244
2016-03-29,95.16000366
2016-03-30,94.83999634
2016-03-31,94.58999634
2016-04-01,94.62000275
2016-04-04,94.51000214
2016-04-05,94.62999725
2016-04-06,94.43000031
2016-04-07,94.48000336
2016-04-08,94.23999786
2016-04-11,93.94999695
2016-04-12,93.95999908
2016-04-13,94.73999786
2016-04-14,94.90000153
2016-04-15,94.69999695
2016-04-18,94.48999786
2016-04-19,93.98000336
2016-04-20,94.48999786
2016-04-21,94.59999847
2016-04-22,95.12000275
2016-04-25,94.83999634
2016-04-26,94.56999969
2016-04-27,94.38999939
2016-04-28,93.76000214
2016-04-29,93.08000183
2016-05-02,92.62999725
2016-05-03,92.94000244
2016-05-04,93.18000031
2016-05-05,93.77999878
2016-05-06,93.88999939
2016-05-09,94.15000153
2016-05-10,94.29000092
2016-05-11,93.81999969
2016-05-12,94.13999939
2016-05-13,94.61000061
2016-05-16,94.56999969
2016-05-17,94.55000305
2016-05-18,95.08000183
2016-05-19,95.29000092
2016-05-20,95.30999756
2016-05-23,95.23000336
2016-05-24,95.56999969
2016-05-25,95.34999847
2016-05-26,95.16999817
2016-05-27,95.51999664
2016-05-31,95.88999939
2016-06-01,95.45999908
2016-06-02,95.55999756
2016-06-03,94.02999878
2016-06-06,93.90000153
2016-06-07,93.83000183
2016-06-08,93.58999634
2016-06-09,94.09999847
2016-06-10,94.59999847
2016-06-13,94.37000275
2016-06-14,94.93000031
2016-06-15,94.61000061
2016-06-16,94.56999969
2016-06-17,94.20999908
2016-06-20,93.61000061
2016-06-21,94.01999664
2016-06-22,93.72000122
2016-06-23,93.52999878
2016-06-24,95.44999695
2016-06-27,96.54000092
2016-06-28,96.25
2016-06-29,95.76999664
2016-06-30,96.13999939
2016-07-01,95.65000153
2016-07-05,96.16999817
2016-07-06,96.05999756
2016-07-07,96.33000183
2016-07-08,96.30000305
2016-07-11,96.56999969
2016-07-12,96.44000244
2016-07-13,96.22000122
2016-07-14,96.08000183
2016-07-15,96.58000183
2016-07-18,96.55999756
2016-07-19,97.05000305
2016-07-20,97.19999695
2016-07-21,97.0
2016-07-22,97.47000122
2016-07-25,97.29000092
2016-07-26,97.16000366
2016-07-27,97.05000305
2016-07-28,96.73999786
2016-07-29,95.52999878
2016-08-01,95.70999908
2016-08-02,95.05999756
2016-08-03,95.55999756
2016-08-04,95.76000214
2016-08-05,96.19000244
2016-08-08,96.40000153
2016-08-09,96.18000031
2016-08-10,95.65000153
2016-08-11,95.86000061
2016-08-12,95.72000122
2016-08-15,95.62999725
2016-08-16,94.79000092
2016-08-17,94.72000122
2016-08-18,94.16000366
2016-08-19,94.51000214
2016-08-22,94.51999664
2016-08-23,94.54000092
2016-08-24,94.79000092
2016-08-25,94.76999664
2016-08-26,95.56999969
2016-08-29,95.58000183
2016-08-30,96.05000305
2016-08-31,96.01999664
2016-09-01,95.65000153
2016-09-02,95.87999725
2016-09-06,94.81999969
2016-09-07,94.95999908
2016-09-08,95.02999878
2016-09-09,95.33999634
2016-09-12,95.09999847
2016-09-13,95.62999725
2016-09-14,95.33000183
2016-09-15,95.29000092
2016-09-16,96.11000061
2016-09-19,95.83999634
2016-09-20,96.01999664
2016-09-21,95.66000366
2016-09-22,95.44999695
2016-09-23,95.48000336
2016-09-26,95.30999756
2016-09-27,95.44000244
2016-09-28,95.43000031
2016-09-29,95.54000092
2016-09-30,95.45999908
2016-10-03,95.75
2016-10-04,96.12000275
2016-10-05,96.12999725
2016-10-06,96.66000366
2016-10-07,96.51999664
