Date,Gold
11/24/2015,1074.300049
11/25/2015,1070.5
11/27/2015,1056.199951
11/30/2015,1065.800049
12/1/2015,1063.800049
12/2/2015,1054.199951
12/3/2015,1061.699951
12/4/2015,1084.5
12/7/2015,1076.400024
12/8/2015,1076.300049
12/9/2015,1077.599976
12/10/2015,1073.099976
12/11/2015,1076.900024
12/14/2015,1064.699951
12/15/2015,1062.900024
12/16/2015,1078.0
12/17/2015,1050.800049
12/18/2015,1066.199951
12/21/2015,1081.900024
12/22/2015,1074.800049
12/23/2015,1069.400024
12/24/2015,1077.199951
12/28/2015,1070.5
12/29/2015,1077.5
12/30/2015,1060.099976
12/31/2015,1060.300049
1/4/2016,1075.099976
1/5/2016,1078.400024
1/6/2016,1091.900024
1/7/2016,1107.699951
1/8/2016,1097.800049
1/11/2016,1096.5
1/12/2016,1085.599976
1/13/2016,1087.5
1/14/2016,1073.900024
1/15/2016,1091.5
1/19/2016,1089.900024
1/20/2016,1107.099976
1/21/2016,1099.099976
1/22/2016,1097.199951
1/25/2016,1106.199951
1/26/2016,1121.699951
1/27/2016,1116.099976
1/28/2016,1115.599976
1/29/2016,1116.400024
2/1/2016,1127.900024
2/2/2016,1127.300049
2/3/2016,1141.300049
2/4/2016,1157.599976
2/5/2016,1157.800049
2/8/2016,1197.900024
2/9/2016,1198.699951
2/10/2016,1194.699951
2/11/2016,1247.900024
2/12/2016,1239.099976
2/16/2016,1207.900024
2/17/2016,1211.099976
2/18/2016,1226.099976
2/19/2016,1230.400024
2/22/2016,1209.5
2/23/2016,1222.300049
2/24/2016,1238.699951
2/25/2016,1238.199951
2/26/2016,1219.800049
2/29/2016,1233.900024
3/1/2016,1230.300049
3/2/2016,1241.099976
3/3/2016,1257.400024
3/4/2016,1269.900024
3/7/2016,1263.199951
3/8/2016,1262.099976
3/9/2016,1256.599976
3/10/2016,1272.0
3/11/2016,1258.699951
3/14/2016,1244.400024
3/15/2016,1230.400024
3/16/2016,1229.300049
3/17/2016,1264.5
3/18/2016,1253.800049
3/21/2016,1243.800049
3/22/2016,1248.199951
3/23/2016,1223.699951
3/24/2016,1221.400024
3/28/2016,1219.900024
3/29/2016,1235.599976
3/30/2016,1226.900024
3/31/2016,1234.199951
4/1/2016,1222.199951
4/4/2016,1218.0
4/5/2016,1228.400024
4/6/2016,1222.5
4/7/2016,1236.199951
4/8/2016,1242.5
4/11/2016,1256.699951
4/12/2016,1259.400024
4/13/2016,1246.800049
4/14/2016,1225.0
4/15/2016,1233.099976
4/18/2016,1233.599976
4/19/2016,1253.0
4/20/2016,1253.199951
4/21/2016,1249.0
4/22/2016,1228.699951
4/25/2016,1238.900024
4/26/2016,1242.199951
4/27/2016,1249.199951
4/28/2016,1265.5
4/29/2016,1289.199951
