Date,Int_rate
3/27/2018,2.786000013
3/28/2018,2.775000095
3/29/2018,2.740999937
4/2/2018,2.732000113
4/3/2018,2.78399992
4/4/2018,2.788000107
4/5/2018,2.832000017
4/6/2018,2.775000095
4/9/2018,2.786000013
4/10/2018,2.796999931
4/11/2018,2.789999962
4/12/2018,2.834000111
4/13/2018,2.828999996
4/16/2018,2.832000017
4/17/2018,2.813999891
4/18/2018,2.867000103
4/19/2018,2.914000034
4/20/2018,2.950999975
4/23/2018,2.97300005
4/24/2018,2.98300004
4/25/2018,3.023999929
4/26/2018,2.99000001
4/27/2018,2.957000017
4/30/2018,2.936000109
5/1/2018,2.976000071
5/2/2018,2.963999987
5/3/2018,2.946000099
5/4/2018,2.944000006
5/7/2018,2.950000048
5/8/2018,2.969000101
5/9/2018,3.003999949
5/10/2018,2.970999956
5/11/2018,2.970999956
5/14/2018,2.994999886
5/15/2018,3.079999924
5/16/2018,3.095000029
5/17/2018,3.108999968
5/18/2018,3.066999912
5/21/2018,3.065000057
5/22/2018,3.065000057
5/23/2018,3.003000021
5/24/2018,2.980999947
5/25/2018,2.930999994
5/29/2018,2.767999887
5/30/2018,2.842000008
5/31/2018,2.822000027
6/1/2018,2.894999981
6/4/2018,2.937000036
6/5/2018,2.91899991
6/6/2018,2.974999905
6/7/2018,2.933000088
6/8/2018,2.937000036
6/11/2018,2.957000017
6/12/2018,2.957000017
6/13/2018,2.976999998
6/14/2018,2.946000099
6/15/2018,2.924000025
6/18/2018,2.926000118
6/19/2018,2.892999887
6/20/2018,2.927999973
6/21/2018,2.897000074
6/22/2018,2.900000095
6/25/2018,2.875
6/26/2018,2.880000114
6/27/2018,2.826999903
6/28/2018,2.846999884
6/29/2018,2.848999977
7/2/2018,2.865999937
7/3/2018,2.838000059
7/5/2018,2.839999914
7/6/2018,2.83100009
7/9/2018,2.859999895
7/10/2018,2.872999907
7/11/2018,2.842000008
7/12/2018,2.852999926
7/13/2018,2.83100009
7/16/2018,2.85800004
7/17/2018,2.864000082
7/18/2018,2.875
7/19/2018,2.846999884
7/20/2018,2.894999981
7/23/2018,2.964999914
7/24/2018,2.948999882
7/25/2018,2.936000109
7/26/2018,2.974999905
7/27/2018,2.960000038
7/30/2018,2.974999905
7/31/2018,2.963999987
8/1/2018,3.003000021
8/2/2018,2.986000061
