Date,Cpi
10/5/2016,241.741
10/6/2016,241.741
10/7/2016,241.741
10/11/2016,241.741
10/12/2016,241.741
10/13/2016,241.741
10/14/2016,241.741
10/17/2016,241.741
10/18/2016,241.741
10/19/2016,241.741
10/20/2016,241.741
10/21/2016,241.741
10/24/2016,241.741
10/25/2016,241.741
10/26/2016,241.741
10/27/2016,241.741
10/28/2016,241.741
10/31/2016,241.741
11/1/2016,242.026
11/2/2016,242.026
11/3/2016,242.026
11/4/2016,242.026
11/7/2016,242.026
11/8/2016,242.026
11/9/2016,242.026
11/10/2016,242.026
11/14/2016,242.026
11/15/2016,242.026
11/16/2016,242.026
11/17/2016,242.026
11/18/2016,242.026
11/21/2016,242.026
11/22/2016,242.026
11/23/2016,242.026
11/25/2016,242.026
11/28/2016,242.026
11/29/2016,242.026
11/30/2016,242.026
12/1/2016,242.637
12/2/2016,242.637
12/5/2016,242.637
12/6/2016,242.637
12/7/2016,242.637
12/8/2016,242.637
12/9/2016,242.637
12/12/2016,242.637
12/13/2016,242.637
12/14/2016,242.637
12/15/2016,242.637
12/16/2016,242.637
12/19/2016,242.637
12/20/2016,242.637
12/21/2016,242.637
12/22/2016,242.637
12/23/2016,242.637
12/27/2016,242.637
12/28/2016,242.637
12/29/2016,242.637
12/30/2016,242.637
1/3/2017,243.618
1/4/2017,243.618
1/5/2017,243.618
1/6/2017,243.618
1/9/2017,243.618
1/10/2017,243.618
1/11/2017,243.618
1/12/2017,243.618
1/13/2017,243.618
1/17/2017,243.618
1/18/2017,243.618
1/19/2017,243.618
1/20/2017,243.618
1/23/2017,243.618
1/24/2017,243.618
1/25/2017,243.618
1/26/2017,243.618
1/27/2017,243.618
1/30/2017,243.618
1/31/2017,243.618
2/1/2017,244.006
2/2/2017,244.006
2/3/2017,244.006
2/6/2017,244.006
2/7/2017,244.006
2/8/2017,244.006
2/9/2017,244.006
2/10/2017,244.006
2/13/2017,244.006
2/14/2017,244.006
2/15/2017,244.006
2/16/2017,244.006
2/17/2017,244.006
2/21/2017,244.006
2/22/2017,244.006
2/23/2017,244.006
2/24/2017,244.006
2/27/2017,244.006
2/28/2017,244.006
3/1/2017,243.892
3/2/2017,243.892
3/3/2017,243.892
3/6/2017,243.892
3/7/2017,243.892
3/8/2017,243.892
3/9/2017,243.892
3/10/2017,243.892
3/13/2017,243.892
3/14/2017,243.892
3/15/2017,243.892
3/16/2017,243.892
3/17/2017,243.892
3/20/2017,243.892
3/21/2017,243.892
3/22/2017,243.892
3/23/2017,243.892
3/24/2017,243.892
3/27/2017,243.892
3/28/2017,243.892
3/29/2017,243.892
3/30/2017,243.892
3/31/2017,243.892
4/3/2017,244.193
4/4/2017,244.193
4/5/2017,244.193
4/6/2017,244.193
4/7/2017,244.193
4/10/2017,244.193
4/11/2017,244.193
4/12/2017,244.193
4/13/2017,244.193
4/17/2017,244.193
4/18/2017,244.193
4/19/2017,244.193
4/20/2017,244.193
4/21/2017,244.193
4/24/2017,244.193
4/25/2017,244.193
4/26/2017,244.193
4/27/2017,244.193
4/28/2017,244.193
5/1/2017,244.004
5/2/2017,244.004
5/3/2017,244.004
5/4/2017,244.004
5/5/2017,244.004
5/8/2017,244.004
5/9/2017,244.004
5/10/2017,244.004
5/11/2017,244.004
5/12/2017,244.004
5/15/2017,244.004
5/16/2017,244.004
5/17/2017,244.004
5/18/2017,244.004
5/19/2017,244.004
5/22/2017,244.004
5/23/2017,244.004
5/24/2017,244.004
5/25/2017,244.004
5/26/2017,244.004
5/30/2017,244.004
5/31/2017,244.004
6/1/2017,244.163
6/2/2017,244.163
6/5/2017,244.163
6/6/2017,244.163
6/7/2017,244.163
6/8/2017,244.163
6/9/2017,244.163
6/12/2017,244.163
6/13/2017,244.163
6/14/2017,244.163
6/15/2017,244.163
6/16/2017,244.163
6/19/2017,244.163
6/20/2017,244.163
6/21/2017,244.163
6/22/2017,244.163
6/23/2017,244.163
6/26/2017,244.163
6/27/2017,244.163
6/28/2017,244.163
6/29/2017,244.163
6/30/2017,244.163
7/3/2017,244.243
7/5/2017,244.243
7/6/2017,244.243
7/7/2017,244.243
7/10/2017,244.243
7/11/2017,244.243
7/12/2017,244.243
7/13/2017,244.243
7/14/2017,244.243
7/17/2017,244.243
7/18/2017,244.243
7/19/2017,244.243
7/20/2017,244.243
7/21/2017,244.243
7/24/2017,244.243
7/25/2017,244.243
7/26/2017,244.243
7/27/2017,244.243
7/28/2017,244.243
7/31/2017,244.243
8/1/2017,245.183
8/2/2017,245.183
8/3/2017,245.183
8/4/2017,245.183
8/7/2017,245.183
8/8/2017,245.183
8/9/2017,245.183
8/10/2017,245.183
8/11/2017,245.183
8/14/2017,245.183
8/15/2017,245.183
8/16/2017,245.183
8/17/2017,245.183
8/18/2017,245.183
8/21/2017,245.183
8/22/2017,245.183
8/23/2017,245.183
8/24/2017,245.183
8/25/2017,245.183
8/28/2017,245.183
8/29/2017,245.183
8/30/2017,245.183
8/31/2017,245.183
9/1/2017,246.435
9/5/2017,246.435
9/6/2017,246.435
9/7/2017,246.435
9/8/2017,246.435
9/11/2017,246.435
9/12/2017,246.435
9/13/2017,246.435
9/14/2017,246.435
