Date,Jclaim
2017-10-17,235000
2017-10-18,235000
2017-10-19,235000
2017-10-20,235000
2017-10-23,241000
2017-10-24,241000
2017-10-25,241000
2017-10-26,241000
2017-10-27,241000
2017-10-30,241000
2017-10-31,241000
2017-11-01,241000
2017-11-02,241000
2017-11-03,241000
2017-11-06,248000
2017-11-07,248000
2017-11-08,248000
2017-11-09,248000
2017-11-10,248000
2017-11-13,254000
2017-11-14,254000
2017-11-15,254000
2017-11-16,254000
2017-11-17,254000
2017-11-20,246000
2017-11-21,246000
2017-11-22,246000
2017-11-24,246000
2017-11-27,243000
2017-11-28,243000
2017-11-29,243000
2017-11-30,243000
2017-12-01,243000
2017-12-04,241000
2017-12-05,241000
2017-12-06,241000
2017-12-07,241000
2017-12-08,241000
2017-12-11,229000
2017-12-12,229000
2017-12-13,229000
2017-12-14,229000
2017-12-15,229000
2017-12-18,244000
2017-12-19,244000
2017-12-20,244000
2017-12-21,244000
2017-12-22,244000
2017-12-26,251000
2017-12-27,251000
2017-12-28,251000
2017-12-29,251000
2018-01-02,248000
2018-01-03,248000
2018-01-04,248000
2018-01-05,248000
2018-01-08,252000
2018-01-09,252000
2018-01-10,252000
2018-01-11,252000
2018-01-12,252000
2018-01-16,224000
2018-01-17,224000
2018-01-18,224000
2018-01-19,224000
2018-01-22,227000
2018-01-23,227000
2018-01-24,227000
2018-01-25,227000
2018-01-26,227000
2018-01-30,223000
2018-01-31,223000
2018-02-01,223000
2018-02-02,223000
2018-02-05,213000
2018-02-06,213000
2018-02-07,213000
2018-02-08,213000
2018-02-09,213000
2018-02-12,213000
2018-02-13,213000
2018-02-14,213000
2018-02-15,213000
2018-02-16,213000
2018-02-20,206000
2018-02-21,206000
2018-02-22,206000
2018-02-23,206000
2018-02-26,202000
2018-02-27,202000
2018-02-28,202000
2018-03-01,202000
2018-03-02,202000
2018-03-05,212000
2018-03-06,212000
2018-03-07,212000
2018-03-08,212000
2018-03-09,212000
2018-03-12,204000
2018-03-13,204000
2018-03-14,204000
2018-03-15,204000
2018-03-16,204000
2018-03-19,198000
2018-03-20,198000
2018-03-21,198000
2018-03-22,198000
2018-03-23,198000
2018-03-26,197000
2018-03-27,197000
2018-03-28,197000
2018-03-29,197000
2018-04-02,205000
2018-04-03,205000
2018-04-04,205000
2018-04-05,205000
2018-04-06,205000
2018-04-09,210000
2018-04-10,210000
2018-04-11,210000
2018-04-12,210000
2018-04-13,210000
2018-04-16,218000
2018-04-17,218000
2018-04-18,218000
2018-04-19,218000
2018-04-20,218000
2018-04-23,191000
2018-04-24,191000
2018-04-25,191000
2018-04-26,191000
2018-04-27,191000
2018-04-30,200000
2018-05-01,200000
2018-05-02,200000
2018-05-03,200000
2018-05-04,200000
2018-05-07,204000
2018-05-08,204000
2018-05-09,204000
2018-05-10,204000
2018-05-11,204000
2018-05-14,220000
2018-05-15,220000
2018-05-16,220000
2018-05-17,220000
2018-05-18,220000
2018-05-21,231000
2018-05-22,231000
2018-05-23,231000
2018-05-24,231000
2018-05-25,231000
2018-05-29,224000
2018-05-30,224000
2018-05-31,224000
2018-06-01,224000
2018-06-04,229000
2018-06-05,229000
2018-06-06,229000
2018-06-07,229000
2018-06-08,229000
2018-06-11,230000
2018-06-12,230000
2018-06-13,230000
2018-06-14,230000
2018-06-15,230000
2018-06-18,228000
2018-06-19,228000
2018-06-20,228000
2018-06-21,228000
2018-06-22,228000
2018-06-25,233000
2018-06-26,233000
2018-06-27,233000
2018-06-28,233000
2018-06-29,233000
2018-07-02,241000
2018-07-03,241000
2018-07-05,241000
2018-07-06,241000
2018-07-09,232000
2018-07-10,232000
2018-07-11,232000
2018-07-12,232000
2018-07-13,232000
2018-07-16,219000
2018-07-17,219000
2018-07-18,219000
2018-07-19,219000
2018-07-20,219000
2018-07-23,224000
2018-07-24,224000
2018-07-25,224000
2018-07-26,224000
2018-07-27,224000
2018-07-30,222000
2018-07-31,222000
2018-08-01,222000
2018-08-02,222000
2018-08-03,222000
2018-08-06,228000
2018-08-07,228000
2018-08-08,228000
2018-08-09,228000
2018-08-10,228000
2018-08-13,224000
2018-08-14,224000
2018-08-15,224000
2018-08-16,224000
2018-08-17,224000
2018-08-20,221000
2018-08-21,221000
2018-08-22,221000
2018-08-23,221000
2018-08-24,221000
2018-08-27,225000
2018-08-28,225000
2018-08-29,225000
2018-08-30,225000
2018-08-31,225000
2018-09-04,211000
2018-09-05,211000
2018-09-06,211000
2018-09-07,211000
2018-09-10,217000
2018-09-11,217000
2018-09-12,217000
2018-09-13,217000
2018-09-14,217000
2018-09-17,214000
2018-09-18,214000
2018-09-19,214000
2018-09-20,214000
2018-09-21,214000
2018-09-24,214000
2018-09-25,214000
2018-09-26,214000
2018-09-27,214000
2018-09-28,214000
2018-10-01,221000
2018-10-02,221000
2018-10-03,221000
2018-10-04,221000
2018-10-05,221000
2018-10-08,221000
2018-10-09,221000
2018-10-10,221000
