Date,Oil
5/24/2017,51.36000061
5/25/2017,48.90000153
5/26/2017,49.79999924
5/30/2017,49.65999985
5/31/2017,48.31999969
6/1/2017,48.36000061
6/2/2017,47.65999985
6/5/2017,47.40000153
6/6/2017,48.18999863
6/7/2017,45.72000122
6/8/2017,45.63999939
6/9/2017,45.83000183
6/12/2017,46.08000183
6/13/2017,46.45999908
6/14/2017,44.72999954
6/15/2017,44.45999908
6/16/2017,44.74000168
6/19/2017,44.20000076
6/20/2017,43.22999954
6/21/2017,42.52999878
6/22/2017,42.74000168
6/23/2017,43.00999832
6/26/2017,43.38000107
6/27/2017,44.24000168
6/28/2017,44.74000168
6/29/2017,44.93000031
6/30/2017,46.04000092
7/3/2017,47.06999969
7/5/2017,45.13000107
7/6/2017,45.52000046
7/7/2017,44.22999954
7/10/2017,44.40000153
7/11/2017,45.04000092
7/12/2017,45.49000168
7/13/2017,46.08000183
7/14/2017,46.54000092
7/17/2017,46.02000046
7/18/2017,46.40000153
7/19/2017,47.11999893
7/20/2017,46.79000092
7/21/2017,45.77000046
7/24/2017,46.34000015
7/25/2017,47.88999939
7/26/2017,48.75
7/27/2017,49.04000092
7/28/2017,49.70999908
7/31/2017,50.16999817
8/1/2017,49.15999985
8/2/2017,49.59000015
8/3/2017,49.02999878
8/4/2017,49.58000183
8/7/2017,49.38999939
8/8/2017,49.16999817
8/9/2017,49.56000137
8/10/2017,48.59000015
8/11/2017,48.81999969
8/14/2017,47.59000015
8/15/2017,47.54999924
8/16/2017,46.77999878
8/17/2017,47.09000015
8/18/2017,48.50999832
8/21/2017,47.36999893
8/22/2017,47.63999939
8/23/2017,48.40999985
8/24/2017,47.43000031
8/25/2017,47.86999893
8/28/2017,46.56999969
8/29/2017,46.43999863
8/30/2017,45.95999908
8/31/2017,47.22999954
9/1/2017,47.29000092
9/5/2017,48.65999985
9/6/2017,49.15999985
9/7/2017,49.09000015
9/8/2017,47.47999954
9/11/2017,48.06999969
9/12/2017,48.22999954
9/13/2017,49.29999924
9/14/2017,49.88999939
9/15/2017,49.88999939
9/18/2017,49.90999985
9/19/2017,49.47999954
9/20/2017,50.40999985
9/21/2017,50.54999924
9/22/2017,50.65999985
9/25/2017,52.22000122
9/26/2017,51.88000107
9/27/2017,52.13999939
9/28/2017,51.56000137
9/29/2017,51.66999817
10/2/2017,50.58000183
10/3/2017,50.41999817
10/4/2017,49.97999954
10/5/2017,50.79000092
10/6/2017,49.29000092
10/9/2017,49.58000183
10/10/2017,50.91999817
10/11/2017,51.29999924
10/12/2017,50.59999847
10/13/2017,51.45000076
10/16/2017,51.86999893
10/17/2017,51.88000107
10/18/2017,52.04000092
10/19/2017,51.29000092
10/20/2017,51.47000122
10/23/2017,51.90000153
10/24/2017,52.47000122
10/25/2017,52.18000031
10/26/2017,52.63999939
10/27/2017,53.90000153
10/30/2017,54.15000153
10/31/2017,54.38000107
11/1/2017,54.29999924
11/2/2017,54.54000092
11/3/2017,55.63999939
11/6/2017,57.34999847
11/7/2017,57.20000076
11/8/2017,56.81000137
11/9/2017,57.16999817
11/10/2017,56.74000168
11/13/2017,56.75999832
11/14/2017,55.70000076
11/15/2017,55.33000183
11/16/2017,55.13999939
11/17/2017,56.54999924
11/20/2017,56.09000015
11/21/2017,56.83000183
11/22/2017,58.02000046
11/24/2017,58.95000076
11/27/2017,58.11000061
11/28/2017,57.99000168
11/29/2017,57.29999924
11/30/2017,57.40000153
12/1/2017,58.36000061
12/4/2017,57.47000122
12/5/2017,57.61999893
12/6/2017,55.95999908
12/7/2017,56.68999863
12/8/2017,57.36000061
12/11/2017,57.99000168
12/12/2017,57.13999939
12/13/2017,56.59999847
12/14/2017,57.04000092
12/15/2017,57.29999924
12/18/2017,57.15999985
12/19/2017,57.45999908
12/20/2017,58.09000015
12/21/2017,58.36000061
12/22/2017,58.47000122
12/26/2017,59.97000122
12/27/2017,59.63999939
12/28/2017,59.84000015
12/29/2017,60.41999817
1/2/2018,60.36999893
1/3/2018,61.63000107
1/4/2018,62.00999832
1/5/2018,61.43999863
1/8/2018,61.72999954
1/9/2018,62.95999908
1/10/2018,63.56999969
1/11/2018,63.79999924
1/12/2018,64.30000305
1/16/2018,63.72999954
1/17/2018,63.97000122
1/18/2018,63.95000076
1/19/2018,63.36999893
1/22/2018,63.49000168
1/23/2018,64.47000122
1/24/2018,65.61000061
1/25/2018,65.51000214
1/26/2018,66.13999939
1/30/2018,64.5
1/31/2018,64.73000336
2/1/2018,65.80000305
2/2/2018,65.44999695
2/5/2018,64.15000153
2/6/2018,63.38999939
2/7/2018,61.79000092
2/8/2018,61.15000153
2/9/2018,59.20000076
2/12/2018,59.29000092
2/13/2018,59.18999863
2/14/2018,60.59999847
2/15/2018,61.34000015
2/16/2018,61.68000031
2/20/2018,61.90000153
2/21/2018,61.68000031
2/22/2018,62.77000046
2/23/2018,63.54999924
2/26/2018,63.90999985
2/27/2018,63.00999832
2/28/2018,61.63999939
3/1/2018,60.99000168
3/2/2018,61.25
3/5/2018,62.56999969
3/6/2018,62.59999847
3/7/2018,61.15000153
3/8/2018,60.11999893
3/9/2018,62.04000092
3/12/2018,61.36000061
3/13/2018,60.70999908
3/14/2018,60.95999908
3/15/2018,61.18999863
3/16/2018,62.34000015
3/19/2018,62.06000137
3/20/2018,63.40000153
3/21/2018,65.16999817
